category,name,type,link,platform,language,impact
Production AI & ML Infrastructure,Computer Vision with Transformers on Amazon SageMaker,Video,https://www.youtube.com/watch?v=UpFnghPlR_Y,YouTube,English,Turns a complex transformer architecture into a visual learning path for ML builders.
Production AI & ML Infrastructure,Computer Vision with Transformers on Amazon SageMaker,Code,https://github.com/wangyubo79/vision-transformer-sagemaker,GitHub,English,"Provides runnable sample code that developers can inspect, adapt, and extend."
AI Agents & Developer Tools,Amazon Q Developer Agentic Coding Workshop,Hands-on Lab,https://events.amazoncloud.cn/labs/cloudlab-amazon-q-new-launch-reinvent2024,AWS,Mandarin,Shows developers how AI coding assistants can fit into real development workflows.
LLM & Generative AI,Rapid Generative AI Application Development with Amazon Bedrock,Hands-on Lab,https://events.amazoncloud.cn/labs/cloudlab-cloud9-call-bedrock-api-and-model-fine-tune,AWS,Mandarin,Helps developers move from model access to working GenAI application patterns.
LLM & Generative AI,Foundation Model Prototyping with Amazon Bedrock,Hands-on Lab,https://events.amazoncloud.cn/labs/cloudlab-amazon-bedrock-first-experience,AWS,Mandarin,Lowers the first-step barrier for Mandarin-speaking developers exploring foundation models.
Production AI & ML Infrastructure,Building a GenAI Vector Database on AWS Graviton,Hands-on Lab,https://events.amazoncloud.cn/labs/cloudlab-graviton-based-vector-database,AWS,Mandarin,Teaches vector data infrastructure patterns for retrieval-augmented GenAI systems.
LLM & Generative AI,Prompt Chaining Workflows with Amazon Bedrock and Step Functions,Hands-on Lab,https://events.amazoncloud.cn/labs/cloudlab-prompt-chaining-based-on-bedrock-and-stepfunction,AWS,Mandarin,Demonstrates orchestration patterns for multi-step LLM workflows and agent-like systems.
LLM & Generative AI,Data as the Differentiation Layer for Generative AI,Blog,https://mp.weixin.qq.com/s?__biz=Mzg4NjU5NDUxNg==&mid=2247560063&idx=1&sn=d3271cb925132335186df0bfdf28283b&chksm=ceeecd4412d8fa644aeaf19ea871432fc57ce8c0ba8c41f1eb902d38f6d6fdb47b1812838552,AWS official WeChat,Mandarin,Frames data quality and retrieval as practical differentiators for GenAI products.
AI Agents & Developer Tools,AI-Native DevOps for Future-Ready Engineering,Blog,https://mp.weixin.qq.com/s?__biz=Mzg4NjU5NDUxNg==&mid=2247544014&idx=1&sn=15a1a844cab593cdcc9ce6413365baa1&chksm=ce0ec3a6f7f4744eaa1425d34db075bd3c04a05d39fed8f882149c8a16674eac13b1e2bddfb7,AWS official WeChat,Mandarin,"Connects AI adoption to developer productivity, automation, and operational excellence."
LLM & Generative AI,LLMOps for Production Generative AI Applications,Blog,https://mp.weixin.qq.com/s?__biz=MzkxMjM2MDIyNQ==&mid=2247641536&idx=1&sn=30cd5dac7b4184acd2d66ab537379d1b&chksm=c018925192af57c5c4da6bf18de46554fac7f7fe720af65f77ff17e8f2d9dba535d3358fa237,AWS official WeChat,Mandarin,Gives developers an operating model for taking GenAI applications beyond prototypes.
